Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
2017,2017,2017,,Sub-Saharan Africa,South Sudan,9.28015,29.7802,Casualty,"Violent clashes in South Sudan lead to 10 dead, many wounded, and destruction of a water point","Violent clashes between government and the Sudan People's Liberation Movement-In Opposition (SPLA-IO) cause the destruction of a water point and leave a reported 10 people dead and 16 more wounded in Wichok, Rubkona, Unity, South Sudan. ",Raleigh et al 2010 ID. 307870,
2017,2017,2017,,Sub-Saharan Africa,Sudan,11.199,29.4179,Trigger,11 injured in clashes between farmers and herdsmen over access to water,"Eleven people are injured after clashes between herdsmen over a water point in South Kordofan, Sudan. ",Raleigh et al 2010 ID. 318310,
2017,2017,2017,,Sub-Saharan Africa,Sudan,10.4105,29.2321,Trigger,Fighting between two clans in Sudan over ownership of water point leaves six dead,"Fighting between two clans near Lagawa, West Kordofan, Sudan over ownership of a water point leaves six dead and several others wounded. ",Raleigh et al 2010 ID. 318582,
2017,2017,2017,,Sub-Saharan Africa,Sudan,13.9622,23.9536,Trigger,"Four people killed in clash over access to a water point in North Darfur, Sudan","Former Sudan Liberation Army-Abdul Wahid (SLA-AW) rebels and Arab nomads clash over access to a water point in Kebkabiya, North Darfur, Sudan, resulting in the death of a total of four people from both sides of the conflict. ",Raleigh et al 2010 ID. 318587,
2017,2017,2017,,Sub-Saharan Africa,Sudan,19.5903,37.1902,Trigger,Protests over water outages turn violent in Sudan,"People protesting water outages are dispersed by police officers in Port Sudan, Red Sea, Sudan. ",Raleigh et al 2010 ID. 318759,
2017,2017,2017,,Northern Africa,Tunisia,33.8869,9.53749,Trigger,Protests over water cuts turn violent in Tunisia,A long series of protests in July 2017 are reported associated with cuts in the distribution of drinking water. Buses are reportedly damaged by residents; citizens blockade a road; security forces and protesters are injured in confrontations.  ,"Raleigh et al 2010 ID. 323780, 323819, 323800, 323768",
2017,2017,2017,,Western Asia,Palestine,32.4646,35.2939,Casualty,Israeli forces destroy water pipes in the West Bank,"Israeli forces destroy water pipes in a rural area, leading to clashes between Israeli forces and local Palestinians in Jenin, West Bank, Palestine. ",Raleigh et al 2010 ID. 339843,
2017,2017,2017,,Western Asia,Jordan,32.5609,36.0087,Trigger,Three water authority employees are attacked in conflict over water well,"Three employees of a water authority agency in Ar Ramtha, Irbid, Jordan are shot at and assaulted during their attempt to prevent the drilling of a water well.",Raleigh et al 2010 ID. 340823,
2017,2017,2017,,Western Asia,Yemen,15.0624,43.286,Casualty,Airstrikes in Yemen destroy water and electrical systems,"Airstrikes by coalition forces over a multi-day period hit water and electricity systems in Bajil and Al Hawak, Al Hudaydah, Yemen, killing one civilian.",Raleigh et al 2010 ID. 343278 & 343302,
2017,2017,2017,,Western Asia,Yemen,12.9422,43.4127,Casualty,Airstrikes in Yemen destroy water and electrical systems,"Airstrikes by coalition forces over a few days hit water and electricity systems in Sanaa and Taiz, Yemen.",Raleigh et al 2010 ID. 343986 & 344105,
2017,2017,2017,,Western Asia,Yemen,13.6669,43.6831,Casualty,"Water and electrical systems in Yemen are attacked by coalition forces, killing two","Two civilians in Maqbanah, Taiz, Yemen, are killed from airstrikes by coalition forces targeting water and electricity systems. ",Raleigh et al 2010 ID. 344760,
2017,2017,2017,,Western Asia,Yemen,12.7753,45.0326,Trigger,Demonstration over access to water and concerns about salary payments turn violent,"Citizens from Crater, Aden, Yemen, demonstrate to demand salary payments and access to water and electricity services by blocking roads and setting tires on fire. ",Raleigh et al 2010 ID. 345102,
2017,2017,2017,,Western Asia,Yemen,14.7602,44.3047,Casualty,"Airstrikes in Jahran, Dhamar, Yemen hit water systems","Airstrikes in Jahran, Dhamar, Yemen by coalition forces hit water and electricity systems.",Raleigh et al 2010 ID. 345190,
2017,2017,2017,,Western Asia,Yemen,15.3201,44.3071,Casualty,Water and electrical systems in Yemen are attacked  ,"Airstrikes by coalition forces hit water and electricity systems in Sahar, Sadah, Yemen.",Raleigh et al 2010 ID. 345859,
2017,2017,2017,,Western Asia,Yemen,14.5455,44.4087,Casualty,"Power lines in Dhamar, Yemen are damaged, cutting water to over a million","The power lines connected to a main water supply system in the city of Dhamar, Yemen are damaged by military activity, affecting approximately one million residents who rely on the water source. ",Raleigh et al 2010 ID. 346194,
2017,2017,2017,,Western Asia,Yemen,15.4503,45.0198,Casualty,Government forces in Yemen seize two major water wells; kill 12 Houthi ,"Government forces seize two major water wells and kill 12 Houthi fighters in Sirwah, Marib, Yemen.",Raleigh et al 2010 ID. 346244,
2017,2017,2017,,Western Asia,Yemen,15.3441,42.5804,Casualty,"Multiple airstrikes hit a water storage facility, desalination plant, and other water infrastructure","Multi-day airstrikes by coalition forces hit a water storage project, a desalination station, and other water infrastructure and electricity systems in Kamaran, Al Hudaydah, Yemen. ","Raleigh et al 2010 ID. 346432, 346444, 346482",
2017,2017,2017,,Western Asia,Yemen,15.5527,48.5164,Casualty,Water tankers are destroyed in Yemen,"Al-Qaeda affliated militants are reported to destroy multiple water tankers that belonged to Houthis militants and the Yemeni Army in Wald Rabi, Al Bayda,  and Lawdar, Abyan, Yemen. ","Raleigh et al 2010 ID. 347234, 347354",
2017,2017,2017,,Western Asia,Yemen,15.3694,44.191,Casualty,"Airstrike by coalition forces hits water and electric systems in Sanaa, Yemen","An airstrike by coalition forces hits water and electricity stations in Al Kaniq, Hamdan, Sanaa, Yemen.",Raleigh et al 2010 ID. 348879,
2017,2017,2017,,Western Asia,Yemen,16.0001,43.1892,Casualty,"Airstrike by coalition forces hits water and electric systems in Hajjah, Yemen","An airstrike by coalition forces hits water and electricity stations in Abs, Hajjah, Yemen.",Raleigh et al 2010 ID. 349742,
2017,2017,2017,,Western Asia,Yemen,15.3919,44.3829,Casualty,Multiple coalition airstrikes against water and water systems in Yemen,"Coalition airstrikes target civilian infrastructure, including a water truck and a water pump, injuring at least one civilian in Al Azqul, Sahar, Sadah, and Al Irafaf, Damt, Ad Dali, Yemen. ","Raleigh et al 2010 ID. 350007, 350198",
2017,2017,2017,,Western Asia,Iraq,36.4099,43.09,Casualty,Islamic State militants burn water purification plant in Iraq,Militants from the Islamic State burn a water purification plant in a town north of the city of Mosul.,Raleigh et al 2010 ID. 350600,
2017,2017,2017,,Western Asia,Iraq,35.7,44.1,Casualty,"A bomb planted at water, oil, and gas pipelines explodes","One of four bombs planted near water, gas, and oil pipelines explodes, injuring a policeman in Dibis, Kirkuk, Iraq. ",Raleigh et al 2010 ID. 351470,
2017,2017,2017,,Western Asia,Iraq,30.9141,46.4393,Trigger,Conflict over water quotas lead to two deaths in Iraq,"Conflict arises between two tribes over water quotas, leaing to two deaths and eight injuries in Suq Al-Shoyokh, Thi-Qar, Iraq.",Raleigh et al 2010 ID. 353965,
2017,2017,2017,,Western Asia,Iraq,33.7733,45.1494,"Casualty, Weapon",Islamic State is accused of cutting off water to a village by diverting a river,"A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.",Raleigh et al 2010 ID. 354937,
2017,2017,2017,,Southern Asia,Afghanistan,30.2438,66.0464,Casualty,Suspected Taliban militants blow up irrigation dam in Afghanistan,"Suspected Taliban militants blow up a dam storing water for irrigation in Shorabak, Kandahar, Afghanistan.",Raleigh et al 2010 ID. 359877,
1977,1977,1977,,Southern Europe,Greece,34.5803,32.9743,Casualty,Explosions damage water system at British military base,"Four separate explosions occur at several British military bases, one damaging the water system at Akrotiri (Santorini), an airbase near Limassol, in southern Cyprus, Greece.",RAND Database of Worldwide Terrorism Incidents 2018,
1988,1988,1988,,Southern Asia,Pakistan,34.0151,71.5249,Casualty,Bomb on water tank injures 15,"A bomb placed under a water tank explodes, injuring 15 people in Peshawar, Pakistan.",RAND Database of Worldwide Terrorism Incidents 2018,
1989,1989,1989,,Western Asia,Israel,32.5287,35.2587,"Casualty, Weapon",Bomb discovered near a water pumping station prior to detonation,"A large amount of dynamite is discovered near a water pumping station near Moshav Ramon, prior to detonation. The detonation would have likely caused flooding and damage to agricultural land.",RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Western Asia,Georgia,42.7083,41.466,Casualty,Militant attacks on water supplies leave one dead and many villages without water,"Over the course of a few days, militant groups in the Abkhazia region of Georgia attack and damage numerous water supply structures, leaving at least twelve villages without water. In addition, one person who is thought to be responsible for the placement of an explosive device on a water tower is killed when the device detonates.",RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Latin America and the Caribbean,Colombia,6.97299,-71.9506,Casualty,"Oil pipeline dynamited, contaminating drinking water source for 200 families","The Caño Limón–Coveñas oil pipeline owned by Colombia Petroleum Enterprise is dynamited, causing oil to spill into the La Gritane stream, which supplies drinking water to approximately 200 families in rural Colombia .",RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Northern Africa,Algeria,35.3674,1.32203,Casualty,A water tower is bombed,"The Sidi Khaled water tower, which overlooks Tiaret, Algeria, is bombed. Four other similar attacks are cited in Hassi R'mel, Ouled, Tolba, and Arzew. ",RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Western Asia,Israel,30.7141,34.8757,Casualty,Water line attack leaves 11 communities without water,Eleven communities in the Negev area of Israel are left without water after a main water line is attacked by an unknown group.,RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Latin America and the Caribbean,Colombia,7.06171,-73.8519,Casualty,Water pipeline connecting a marshland with an oil facility attacked,A water pipeline that delivers water from San Silvestre marshland to the Ecopetrol Industrial Complex is attacked. The Revolutionary Armed Forces of Colombia (FARC) is presumed responsible.,RAND Database of Worldwide Terrorism Incidents 2018,
1998,1998,1998,,Western Asia,Yemen,15.4736,45.3288,Trigger,Pipeline destroyed in attempt to pressure government to build water and power systems,"Yemeni tribesmen, thought to be from the Jahm tribe, attack and destroy a pipeline in the Marib province in order to pressure the national government to build water distribution systems and power plants in their region.",RAND Database of Worldwide Terrorism Incidents 2018,
1999,1999,1999,,Western Europe,France,43.5912,3.25836,Casualty,"Multiple attacks on utilities, including water, in one day","Reports find at least three attacks on utilities in the Hérault area, including one that damaged a water supply pipeline.",RAND Database of Worldwide Terrorism Incidents 2018,
1999,1999,1999,,Western Europe,France,41.3667,9.26394,Casualty,"Bomb explodes on an island, cutting off water supply","A bomb explodes on the island of Cavallo, off the coast of Corsica, causing a disruption to the local water supply. The attack was likely by the National Liberation Front of Corsica (FLNC) which seeks independence from France. ",RAND Database of Worldwide Terrorism Incidents 2018,
1999,1999,1999,,Western Asia,Turkey,41.0082,28.9784,Casualty,Bomb thrown at a municipal water tank causes significant damage,A bomb thrown at a municipal water tank in Istanbul causes significant damage in the surrounding area.,RAND Database of Worldwide Terrorism Incidents 2018,
2000,2000,2000,,Western Europe,France,43.3959,-1.45459,Casualty,Water company is bombed to demand release of prisoners,"A water company office in Ustaritz, France is damaged by a bomb thought to be placed in support of a group called the Basque Fatherland and Freedom (aka ETA). The attackers leave writing on the wall in the building demanding the release of ETA prisoners.",RAND Database of Worldwide Terrorism Incidents 2018,
2000,2000,2000,,Western Asia,Palestine,32.1134,35.1437,Casualty,"Settlers attack a village in Palestine, injuring civilians and cutting water supply","In a village in Palestine, three Palestinians are injured by gunshots from Israeli settlers. The same settlers also cut the water supply to the village by damaging the pipes.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Eastern Europe,Serbia,42.4609,21.7662,Casualty,Water pipe destroyed by explosion,A water pipe that had been planned for a new water supply system in Bujanovac is destroyed by an explosion. An Albanian group is thought be responsible for the bomb.,RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Latin America and the Caribbean,Colombia,4.71099,-74.0721,Casualty,Water company sustains minor damages from bombing,The chief engineer of a water company reports minor damage from a bomb placed near a reservoir in Bogota by the the Revolutionary Armed Forces of Colombia.,RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Latin America and the Caribbean,Chile,-33.4489,-70.6693,"Trigger, Casualty",Water company offices bombed in response to high tariffs for water,"Three explosions occur at the offices of a water company, Aquas Andinas of Chile. The explosions are attributed to a group called Pueblo Reagrupado. Pueblo Reagrupado is thought to have placed the bombs in response to high tariffs for water.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Southern Asia,Nepal,27.9904,82.3018,Casualty,Warehouse of drinking water project destroyed,"A rebel group, called the Communist Party of Nepal-Maoists, destroys a warehouse of the Bijauri Drinking Water Project in Nepal, including 30,000 meters of polythene pipes.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Latin America and the Caribbean,Colombia,4.19796,-75.1164,Casualty,Bomb found in water pump station defused,"A bomb is found in a water supply pump station along a canal, however it is defused prior to causing any damage to the system. The Revolutionary Armed Forces of Colombia (FARC) is blamed for the attempted attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Latin America and the Caribbean,Colombia,4.83183,-75.6806,Casualty,Gas line set on fire in a water treatment plant,"A gas pipeline in a water treatment plant is set on fire by ""People's Militias"" in Dosquebradas, Colombia. One death and two injuries are reported in association with the event.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Southern Asia,Pakistan,34.0101,71.5278,Casualty,Multiple attacks on water towers,"Two water towers are blown up in Jango Ghari, a tribal area, where several other similar attacks have occured. The power systems atop the towers are destroyed in the blast as well.",RAND Database of Worldwide Terrorism Incidents 2018,
2002,2002,2002,,Western Europe,France,41.5914,9.27831,Casualty,Bomb explodes in water utility office building,"A powerful bomb explodes in a water utility office building on the Island of Corsica. The building is also graffitied with the nationalist slogan ""Freedom for Patriots.""",RAND Database of Worldwide Terrorism Incidents 2018,
2003,2003,2003,,Northern Europe,Ireland,54.2485,-6.70504,Casualty,Bomb found in water supply facility safely defused,"A bomb is defused at a water supply facility in Keady, Ireland. The facility supplies about 10,000 homes with water. A group called the Continuity Irish Republican Army (CIRA) is suspected to be responsible for placing the bomb.",RAND Database of Worldwide Terrorism Incidents 2018,
2003,2003,2003,,Southern Asia,India,18.1977,79.7027,Casualty,Group bombs a rural water supply office and other offices,"A rural water supply office building is blown up along with other offices, in Parkal, India.",RAND Database of Worldwide Terrorism Incidents 2018,
2004,2004,2004,,Southern Asia,Nepal,27.9904,82.3018,Casualty,Several government agencies related to water and other services attacked,"Over two months in 2004 in Nepal, the Communist Party of Nepal-Maoists bomb several government offices, including the Water Induced Calamities Control Sub-Division in Nadipur, Pokhara and the Groundwater Irrigation Project in Dang District.",RAND Database of Worldwide Terrorism Incidents 2018,
2004,2004,2004,,Southern Europe,Kosovo,42.8914,20.866,Casualty,Security staff of a public water system shot at while working,"Bullets are fired at the security staff of a public water pumping station in Kosovska Mitrovica, Kosovo. Authorities blame Albanian extremists for the attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2004,2004,2004,,Western Asia,Iraq,35.4656,44.3804,Casualty,Four people employed by the water and sewage department kidnapped,"Three engineers and one contractor, employed by the city water and sewage board, are kidnapped in Kirkuk, Iraq. No reports could be found detailing the outcome of the kidnapping.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,35.4656,44.3804,Casualty,Water pipeline attacked with bomb,"A bomb placed near a water pipeline explodes, causing it to break. That same day, two nearby oil pipelines are also attacked. ",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,35.4656,44.3804,Casualty,Car bomb near water services director kills one,"A car bomb placed near the Kirkuk city water services director detonates, killing one person and injuring at least 17 others in Kirkuk, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,33.8423,44.5217,Casualty,Bomb placed at a water station explodes prematurely and kills both attackers,"A bomb at a water station explodes prematurely, killing the two men placing the bomb.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,33.6732,44.3615,Casualty,"Power station damaged, taking down some of Baghdad's water distribution system","A power station in Tarmiyah, Iraq is damaged by a fire, disabling a portion of Baghdad's water distribution system.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Southern Asia,Nepal,27.9829,83.0361,Casualty,Communist party in Nepal destroys a drinking water project,"The Communist Party of Nepal-Maoists destroys a drinking water project in the District of Arghakhanchi, Nepal, disrupting water service to thousands of people.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,33.5312,44.2647,Casualty,Three Iraqis killed while driving water to an army base,"A group of three Iraqi men are shot and killed while transporting water to a military base near Taji, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Southern Europe,Albania,42.3982,20.1626,Casualty,Bomb destroys power source for local water system,"A bomb explodes in the Margegaj village of Tropojë District in Albania, destroying a power source for the local water system. Several villages are left without water.",RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,33.3152,44.3655,Casualty,Six employees of a water utility found murdered inside the water treatment plant,Six employees of a water utility in Baghdad are found murdered inside a water treatment plant. The actual date of their deaths is not known.,RAND Database of Worldwide Terrorism Incidents 2018,
2005,2005,2005,,Western Asia,Iraq,33.6732,44.3615,Casualty,"Gunman take out electric lines, disrupting water service in Baghdad","Electric lines that provide power for water supply services in Baghdad, Iraq are shot down by a gunman, causing a disruption to water services. These same power lines had been recently fixed after suffering from a similar attack in the months prior.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,Nepal,28.8278,81.9564,Casualty,Drinking water supply for thousands destroyed,"Several drinking water supply reservoirs and pipelines that provide water for more than 20,000 people are destroyed by explosives in the Narayan and Jajarkot areas of Nepal. The Communist Party of Nepal-Maoists is suspected to be responsible for the attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,33.3152,44.3655,Casualty,Unsuccessful targeting of water pipeline,"A water pipeline in Baghdad is targeted by an explosive device placed nearby. However, the explosion does not damage the pipeline.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,33.3152,44.3655,Casualty,Employee of Iraq's Ministry of Water Resources killed,An employee of the Ministry of Water Resources in Iraq is killed by a gunman.,RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,Pakistan,30.3753,69.3451,Casualty,Water tank drivers killed,Two people driving a water tank in Pakistan are shot and killed. They had delivered water to security forces along the Afghan border.,RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,India,24.1286,84.1857,Casualty,200 people attack home of Water Resource Minister,"A group of around 200 people attack the home residence of Kamlesh Kumar Singh, the Jharkhand Water Resources Minister, in Kamgarpur, Palamu District, India. The minister is not home during the attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Northern Africa,Algeria,36.758,3.48519,Casualty,Militants wound guards at a water supply company,"Militants from the Salafist Group for Call and Combat attack a guard station at a water supply company in Thenia, near Boumerdès, Algeria. The two guards are wounded in the attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,35.4656,44.3804,Casualty,"Explosive device aimed for water supply detonates early, killing two, wounding one","An explosive device targeting a water main in Kirkuk, Iraq, detonates prematurely, killing two and injuring one of the attackers.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,33.3152,44.3655,Casualty,Two water truck drivers killed,"The drivers of a water truck are killed in Baghdad, Iraq by a gunman while driving for work.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,33.7596,44.6067,Casualty,Director of water project killed,"The director of the Baqubah water project, Husayn Ali Atiyah, is killed by gunmen. The attack is considered part of a larger effort to undermine the Iraqi reconstruction process.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,India,20.5937,78.9629,Casualty,Two bombs explode at a water collection point,Two bombs detonate at a water collection point near a village in India. No one is injured from the explosions.,RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,Sri Lanka,8.7542,80.4982,Casualty,Bomb attached to police vehicle carrying water supplies injures three,"Three police officers are injured after a bomb explodes from underneath a water truck in Vavuniya District, Sri Lanka.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Western Asia,Iraq,35.4656,44.3804,Casualty,Government official killed,"A government official working with the water authority in Kirkuk, Iraq is killed.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,Pakistan,29.1421,69.1,Casualty,Water and gas supplies disrupted by explosion,"Water and gas pipelines in Pir Koh, Pakistan are destroyed, disrupting the delivery of these supplies to nearby communities. The Baloch Liberation Army (BLA) takes responsibility for the explosion.",RAND Database of Worldwide Terrorism Incidents 2018,
2006,2006,2006,,Southern Asia,Pakistan,30.1798,66.9751,Casualty,Bomb explodes near water pump station,"A bomb explodes near a water pump station in Quetta, Pakistan. No one is injured in the explosion. ",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,33.3152,44.3655,Casualty,Workers fixing a water pipe killed,"Two workers fixing a water pipe in Baghdad, Iraq, are killed in an event that is reported as either a drive-by shooting or a bomb explosion. The pipeline was being fixed from an attack a month earlier.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,33.3152,44.3655,Casualty,Mortar fired at water treatment plant,"A mortar is fired at a water treatment plant in Baghdad, Iraq. No casualties are reported.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,36.4163,42.9652,Casualty,Director-general of water projects killed by gunmen,"The director-general of water projects in Badush, Iraq is shot and killed by gunmen.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Southern Asia,Pakistan,30.3753,69.3451,Casualty,Water pipeline and gas pipeline damaged by explosion,Water supply is disrupted when a water pipeline and nearby gas pipeline are blown up in Pakistan.,RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,South-eastern Asia,Thailand,6.54111,101.28,Casualty,Water distribution facility warehouse burnt down,"A warehouse of a water distribution facility is burnt down in Yala Province, Thailand. Islamic insurgents seeking independence from Thailand are the suspected arsonists.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Northern Africa,Algeria,36.8167,5.74909,Casualty,Two people wounded by bomb at local watering hole,"Two people are wounded when a bomb explodes at a local watering hole in Jijel, Algeria.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,36.3624,42.4037,Casualty,Workers constructing water pipe attacked; two killed,"A bomb placed along a road kills two workers and wounds five others as they lay water pipes in Tal Afar, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,33.8423,44.5217,Casualty,Bloody fight at a water filtering station leaves at least 33 dead,"An attack on a water-filtering station in the Al-Khalis District of Diyala Governorate in Iraq is thwarted by the Iraqi military and other forces, leaving at least 33 of the attackers dead. The number of deaths on the Iraqi side is not reported.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Western Asia,Iraq,35.018,43.4452,Casualty,Tigris River polluted after bomb strikes oil pipeline,"The Tigris River is polluted with oil after a bomb strikes a pipeline near Baiji, Iraq. The river supplies drinking water for nearby communities.",RAND Database of Worldwide Terrorism Incidents 2018,
2008,2008,2008,,Sub-Saharan Africa,Ethiopia,2.04693,45.3182,Casualty,Multiple civilians killed by remotely-triggered bombs targeting water trucks,At least two water trucks being used to deliver supplies to the Ethiopian army are targeted by remotely-triggered bombs. At least four civilians are killed and another eight are injured.,RAND Database of Worldwide Terrorism Incidents 2018,
2008,2008,2008,,Southern Asia,Afghanistan,31.6289,65.7372,Casualty,Driver of a water tanker truck killed,A driver of a water tanker truck owned by an aid agency is killed while driving. Local officials place blame on Taliban militants.,RAND Database of Worldwide Terrorism Incidents 2018,
2009,2009,2009,,Latin America and the Caribbean,Colombia,4.15139,-73.6376,Casualty,"Bomb damages water treatment plant, leaving community without water","A bomb planted at a water treatment plant explodes damaging the plant and wounding two police officers in Villavicencio, Colombia. The town is left without water supply. ",RAND Database of Worldwide Terrorism Incidents 2018,
2009,2009,2009,,Southern Asia,Afghanistan,33.3338,69.9372,Casualty,"Energy and Water Department attacked by suicide bombers, killing six and injuring dozens","Six civilians die and approximately 30 others are injured when two suicide bombers attack the building of the Energy and Water Department in Khost City, Afghanistan.",RAND Database of Worldwide Terrorism Incidents 2018,
2009,2009,2009,,Southern Asia,Afghanistan,34.8466,71.0973,Casualty,"During kidnapping by Taliban, water tank destroyed","A group of four employees of a construction company in Kunar province, Afghanistan are kidnapped by the Taliban. The kidnappers also destroy a water tank during the attack.",RAND Database of Worldwide Terrorism Incidents 2018,
2007,2007,2007,,Latin America and the Caribbean,Colombia,2.93448,-75.2809,Casualty,"Bomb placed on water meter kills four police officers, while another under a car injures ten","A bomb placed on a water meter in Cielo Gonzalez Villa, Neiva, Colombia detonates, killing four police officers. On the same day, another bomb placed under a car detonates in front of a building occupied by the local mayor, injuring ten people. The Revolutionary Armed Forces of Colombia (FARC) is suspected of the crimes.",RAND Database of Worldwide Terrorism Incidents 2018: Kraul 2007,
2003,2003,2003,,Western Asia,Iraq,33.3152,44.3655,Casualty,"Bomb explosion breaks water main, forcing water supply shutoff to Baghdad","A bomb placed near a water main line explodes, breaking the pipe and forcing engineers to shut off the water supply to the entire city of Baghdad, Iraq. Major flooding in the surrounding neighborhood is caused as well.",RAND Database of Worldwide Terrorism Incidents 2018; British Broadcasting Corporation (BBC) 2003,
2004,2004,2004,,Southern Asia,Pakistan,32.3203,69.8597,Casualty,"Chinese engineers working on a dam are kidnapped, one is killed","Two Chinese engineers working on a dam and a canal in Waziristan, Pakistan, are kidnapped by Pakistani militants seeking the release of six Pakistani comrades. During a rescue attempt, one of the two engineers is shot and killed, while the other is brought to safety.",RAND Database of Worldwide Terrorism Incidents 2018; China Daily 2004b,
2006,2006,2006,,Southern Asia,Pakistan,29.0278,69.097,Casualty,Water pipelines destroyed by rocket attacks and explosives,"Several attacks with rockets and other explosives on pipelines that supply water to a gas plant in Dera Bugti, Pakistan, disrupt gas production.",RAND Database of Worldwide Terrorism Incidents 2018; Dawn 2006,
2000,2000,2000,,North America,United States,39.1653,-86.5264,Trigger,Luxury home burned to protest impact on watershed,"The Earth Liberation Front (ELF) claims responsibility for setting a luxury home under construction on fire. Their written statement says they targeted the home because of its location in the Lake Monroe watershed, a drinking water supply for the town of Bloomington, Indiana, which is in jeopardy from urban sprawl.",RAND Database of Worldwide Terrorism Incidents 2018; Eco-Action 2003,
1969,1969,1969,,Western Asia,Jordan,32.5975,35.701,Casualty,Palestinian group attempts to pollute Israeli water with attack on an oil pipeline,"The Popular Front for the Liberation of Palestine (PFLP) places an explosive device on the Trans-Arabian Pipeline in Jordan in an attempt to pollute water that provides drinking water and water for fisheries to Israel in the Hutch Valley. While the explosive device did cause significant damage to the pipeline, reports do not indicate that water supplies were affected.",RAND Database of Worldwide Terrorism Incidents 2018; Heradstveit 2017,
1999,1999,1999,,Sub-Saharan Africa,Zambia,-15.387,28.3235,Casualty,"Bombs damage water, power, and Angolan Embassy in Lusaka","Sixteen bombs are reported to have exploded throughout the city of Lusaka, Zambia, with damage targeted at water pipes, power lines, and the Angolan Embassy. At least one person is killed and two are injured. Many people are without water and power for many days after the explosions. No one claims responsibility for the bombs, however, it is speculated that the attackers were seeking to discredit the Zambian government by causing chaos.",RAND Database of Worldwide Terrorism Incidents 2018; Mfula 1999,
2005,2005,2005,,Western Asia,Iraq,33.3152,44.3655,Casualty,Water pipeline targeted in attack in Baghdad,"A water pipeline is damaged by a targeted explosion, disrupting water services to approximately two million people in Baghdad, Iraq.","RAND Database of Worldwide Terrorism Incidents 2018; New Humanitarian, The 2005",
